Player,Team,Position,Cap Hit,pv
Leon Draisaitl,Edmonton Oilers,F,"$14,000,000",14.0
Auston Matthews,Toronto Maple Leafs,F,"$13,250,000",13.25
Nathan MacKinnon,Colorado Avalanche,F,"$12,600,000",12.6
Connor McDavid,Edmonton Oilers,F,"$12,500,000",12.5
Mitchell Marner,Vegas Golden Knights,F,"$12,000,000",12.0
Mikko Rantanen,Dallas Stars,F,"$12,000,000",12.0
Artemi Panarin,Los Angeles Kings,F,"$11,642,857",11.643
Elias Pettersson,Vancouver Canucks,F,"$11,600,000",11.6
Erik Karlsson,Pittsburgh Penguins,D,"$11,500,000",11.5
William Nylander,Toronto Maple Leafs,F,"$11,500,000",11.5
David Pastrnak,Boston Bruins,F,"$11,250,000",11.25
Drew Doughty,Los Angeles Kings,D,"$11,000,000",11.0
Rasmus Dahlin,Buffalo Sabres,D,"$11,000,000",11.0
Evan Bouchard,Edmonton Oilers,D,"$10,500,000",10.5
Jonathan Huberdeau,Calgary Flames,F,"$10,500,000",10.5
Aleksander Barkov,Florida Panthers,F,"$10,000,000",10.0
Jack Eichel,Vegas Golden Knights,F,"$10,000,000",10.0
Tyler Seguin,Dallas Stars,F,"$9,850,000",9.85
Sebastian Aho,Carolina Hurricanes,F,"$9,750,000",9.75
Zach Werenski,Columbus Blue Jackets,D,"$9,583,333",9.583
Alex Ovechkin,Washington Capitals,F,"$9,500,000",9.5
Mark Stone,Vegas Golden Knights,F,"$9,500,000",9.5
Nikita Kucherov,Tampa Bay Lightning,F,"$9,500,000",9.5
Seth Jones,Florida Panthers,D,"$9,500,000",9.5
Brayden Point,Tampa Bay Lightning,F,"$9,500,000",9.5
Matthew Tkachuk,Florida Panthers,F,"$9,500,000",9.5
Charlie McAvoy,Boston Bruins,D,"$9,500,000",9.5
Adam Fox,New York Rangers,D,"$9,500,000",9.5
Noah Dobson,Montreal Canadiens,D,"$9,500,000",9.5
Darnell Nurse,Edmonton Oilers,D,"$9,250,000",9.25
Mathew Barzal,New York Islanders,F,"$9,150,000",9.15
Roman Josi,Nashville Predators,D,"$9,059,000",9.059
Dougie Hamilton,New Jersey Devils,D,"$9,000,000",9.0
Jake Guentzel,Tampa Bay Lightning,F,"$9,000,000",9.0
Kirill Kaprizov,Minnesota Wild,F,"$9,000,000",9.0
Jakob Chychrun,Washington Capitals,D,"$9,000,000",9.0
Cale Makar,Colorado Avalanche,D,"$9,000,000",9.0
Luke Hughes,New Jersey Devils,D,"$9,000,000",9.0
Alex Pietrangelo,Vegas Golden Knights,D,"$8,800,000",8.8
Timo Meier,New Jersey Devils,F,"$8,800,000",8.8
Travis Konecny,Philadelphia Flyers,F,"$8,750,000",8.75
Sidney Crosby,Pittsburgh Penguins,F,"$8,700,000",8.7
Dylan Larkin,Detroit Red Wings,F,"$8,700,000",8.7
Patrik Laine,Montreal Canadiens,F,"$8,700,000",8.7
Sam Reinhart,Florida Panthers,F,"$8,625,000",8.625
Moritz Seider,Detroit Red Wings,D,"$8,550,000",8.55
Brock Faber,Minnesota Wild,D,"$8,500,000",8.5
Mika Zibanejad,New York Rangers,F,"$8,500,000",8.5
Mark Scheifele,Winnipeg Jets,F,"$8,500,000",8.5
Filip Forsberg,Nashville Predators,F,"$8,500,000",8.5
Bo Horvat,New York Islanders,F,"$8,500,000",8.5
Nikolaj Ehlers,Carolina Hurricanes,F,"$8,500,000",8.5
Ivan Provorov,Columbus Blue Jackets,D,"$8,500,000",8.5
Pierre-Luc Dubois,Washington Capitals,F,"$8,500,000",8.5
Mikhail Sergachev,Utah Mammoth,D,"$8,500,000",8.5
Roope Hintz,Dallas Stars,F,"$8,450,000",8.45
Miro Heiskanen,Dallas Stars,D,"$8,450,000",8.45
Wyatt Johnston,Dallas Stars,F,"$8,400,000",8.4
Tim Stutzle,Ottawa Senators,F,"$8,350,000",8.35
Owen Power,Buffalo Sabres,D,"$8,350,000",8.35
Brady Tkachuk,Ottawa Senators,F,"$8,205,714",8.206
Tomas Hertl,Vegas Golden Knights,F,"$8,137,500",8.137
Jordan Kyrou,St Louis Blues,F,"$8,125,000",8.125
Robert Thomas,St Louis Blues,F,"$8,125,000",8.125
Lucas Raymond,Detroit Red Wings,F,"$8,075,000",8.075
Jake Sanderson,Ottawa Senators,D,"$8,050,000",8.05
Jack Hughes,New Jersey Devils,F,"$8,000,000",8.0
Steven Stamkos,Nashville Predators,F,"$8,000,000",8.0
Logan Couture,San Jose Sharks,F,"$8,000,000",8.0
John Carlson,Anaheim Ducks,D,"$8,000,000",8.0
Victor Hedman,Tampa Bay Lightning,D,"$8,000,000",8.0
J.T. Miller,New York Rangers,F,"$8,000,000",8.0
Jacob Trouba,Anaheim Ducks,D,"$8,000,000",8.0
Pavel Buchnevich,St Louis Blues,F,"$8,000,000",8.0
Sam Bennett,Florida Panthers,F,"$8,000,000",8.0
Thomas Chabot,Ottawa Senators,D,"$8,000,000",8.0
Joshua Norris,Buffalo Sabres,F,"$7,950,000",7.95
Kevin Fiala,Los Angeles Kings,F,"$7,875,000",7.875
Alex Debrincat,Detroit Red Wings,F,"$7,875,000",7.875
Jesper Bratt,New Jersey Devils,F,"$7,875,000",7.875
Nick Suzuki,Montreal Canadiens,F,"$7,875,000",7.875
Shea Weber,Chicago Blackhawks,D,"$7,857,143",7.857
Quinn Hughes,Minnesota Wild,D,"$7,850,000",7.85
Cole Caufield,Montreal Canadiens,F,"$7,850,000",7.85
Jason Robertson,Dallas Stars,F,"$7,750,000",7.75
Andrei Svechnikov,Carolina Hurricanes,F,"$7,750,000",7.75
Matthew Knies,Toronto Maple Leafs,F,"$7,750,000",7.75
Sean Couturier,Philadelphia Flyers,F,"$7,750,000",7.75
Elias Lindholm,Boston Bruins,F,"$7,750,000",7.75
John-Jason Peterka,Utah Mammoth,F,"$7,700,000",7.7
Juraj Slafkovský,Montreal Canadiens,F,"$7,600,000",7.6
Jared Spurgeon,Minnesota Wild,D,"$7,575,000",7.575
Brock Nelson,Colorado Avalanche,F,"$7,500,000",7.5
Morgan Rielly,Toronto Maple Leafs,D,"$7,500,000",7.5
Gabriel Vilardi,Winnipeg Jets,F,"$7,500,000",7.5
K'Andre Miller,Carolina Hurricanes,D,"$7,500,000",7.5
Alexis Lafreniere,New York Rangers,F,"$7,450,000",7.45
Shea Theodore,Vegas Golden Knights,D,"$7,425,000",7.425
Seth Jarvis,Carolina Hurricanes,F,"$7,420,087",7.42
Noah Hanifin,Vegas Golden Knights,D,"$7,350,000",7.35
Vince Dunn,Seattle Kraken,D,"$7,350,000",7.35
Devon Toews,Colorado Avalanche,D,"$7,250,000",7.25
Brock Boeser,Vancouver Canucks,F,"$7,250,000",7.25
Filip Hronek,Vancouver Canucks,D,"$7,250,000",7.25
Nico Hischier,New Jersey Devils,F,"$7,250,000",7.25
Clayton Keller,Utah Mammoth,F,"$7,150,000",7.15
Kevin Hayes,Pittsburgh Penguins,F,"$7,142,858",7.143
Brandon Montour,Seattle Kraken,D,"$7,142,857",7.143
Kyle Connor,Winnipeg Jets,F,"$7,142,857",7.143
Tage Thompson,Buffalo Sabres,F,"$7,142,857",7.143
Dylan Guenther,Utah Mammoth,F,"$7,142,875",7.143
Matthew Beniers,Seattle Kraken,F,"$7,142,857",7.143
Dylan Cozens,Ottawa Senators,F,"$7,100,000",7.1
Matt Boldy,Minnesota Wild,F,"$7,000,000",7.0
Mason McTavish,Anaheim Ducks,F,"$7,000,000",7.0
Anze Kopitar,Los Angeles Kings,F,"$7,000,000",7.0
Nazem Kadri,Colorado Avalanche,F,"$7,000,000",7.0
Anders Lee,New York Islanders,F,"$7,000,000",7.0
Mikael Granlund,Anaheim Ducks,F,"$7,000,000",7.0
Gabriel Landeskog,Colorado Avalanche,F,"$7,000,000",7.0
Brady Skjei,Nashville Predators,D,"$7,000,000",7.0
Carter Verhaeghe,Florida Panthers,F,"$7,000,000",7.0
Troy Terry,Anaheim Ducks,F,"$7,000,000",7.0
Vladislav Gavrikov,New York Rangers,D,"$7,000,000",7.0
Neal Pionk,Winnipeg Jets,D,"$7,000,000",7.0
Ryan McDonagh,Tampa Bay Lightning,D,"$6,750,000",6.75
Brayden Schenn,New York Islanders,F,"$6,500,000",6.5
Chris Kreider,Anaheim Ducks,F,"$6,500,000",6.5
Dmitry Orlov,San Jose Sharks,D,"$6,500,000",6.5
Cam Fowler,St Louis Blues,D,"$6,500,000",6.5
Justin Faulk,Detroit Red Wings,D,"$6,500,000",6.5
Brendan Gallagher,Montreal Canadiens,F,"$6,500,000",6.5
Torey Krug,St Louis Blues,D,"$6,500,000",6.5
Hampus Lindholm,Boston Bruins,D,"$6,500,000",6.5
Tom Wilson,Washington Capitals,F,"$6,500,000",6.5
Colton Parayko,St Louis Blues,D,"$6,500,000",6.5
Brandon Hagel,Tampa Bay Lightning,F,"$6,500,000",6.5
Martin Necas,Colorado Avalanche,F,"$6,500,000",6.5
Matt Coronato,Calgary Flames,F,"$6,500,000",6.5
Jaccob Slavin,Carolina Hurricanes,D,"$6,396,062",6.396
Ryan Ellis,Chicago Blackhawks,D,"$6,250,000",6.25
Mattias Ekholm,Edmonton Oilers,D,"$6,250,000",6.25
Alex Killorn,Anaheim Ducks,F,"$6,250,000",6.25
Damon Severson,Columbus Blue Jackets,D,"$6,250,000",6.25
Chandler Stephenson,Seattle Kraken,F,"$6,250,000",6.25
MacKenzie Weegar,Utah Mammoth,D,"$6,250,000",6.25
Josh Morrissey,Winnipeg Jets,D,"$6,250,000",6.25
Travis Sanheim,Philadelphia Flyers,D,"$6,250,000",6.25
Anthony Cirelli,Tampa Bay Lightning,F,"$6,250,000",6.25
Alexander Romanov,New York Islanders,D,"$6,250,000",6.25
Bowen Byram,Buffalo Sabres,D,"$6,250,000",6.25
Quinton Byfield,Los Angeles Kings,F,"$6,250,000",6.25
Owen Tippett,Philadelphia Flyers,F,"$6,200,000",6.2
Ryan Pulock,New York Islanders,D,"$6,150,000",6.15
Valeri Nichushkin,Colorado Avalanche,F,"$6,125,000",6.125
Evgeni Malkin,Pittsburgh Penguins,F,"$6,100,000",6.1
Kris Letang,Pittsburgh Penguins,D,"$6,100,000",6.1
Aaron Ekblad,Florida Panthers,D,"$6,100,000",6.1
Tyler Toffoli,San Jose Sharks,F,"$6,000,000",6.0
Jonas Brodin,Minnesota Wild,D,"$6,000,000",6.0
Ondrej Palat,New York Islanders,F,"$6,000,000",6.0
Sean Durzi,Utah Mammoth,D,"$6,000,000",6.0
William Karlsson,Vegas Golden Knights,F,"$5,900,000",5.9
Nick Schmaltz,Utah Mammoth,F,"$5,850,000",5.85
Adam Pelech,New York Islanders,D,"$5,750,000",5.75
Gustav Forsling,Florida Panthers,D,"$5,750,000",5.75
Matt Roy,Washington Capitals,D,"$5,750,000",5.75
Casey Mittelstadt,Boston Bruins,F,"$5,750,000",5.75
Dylan Samberg,Winnipeg Jets,D,"$5,750,000",5.75
Yegor Sharangovich,Calgary Flames,F,"$5,750,000",5.75
Trevor Zegras,Philadelphia Flyers,F,"$5,750,000",5.75
Vincent Trocheck,New York Rangers,F,"$5,625,000",5.625
Andrew Copp,Detroit Red Wings,F,"$5,625,000",5.625
Kaiden Guhle,Montreal Canadiens,D,"$5,550,000",5.55
Nicolas Hague,Nashville Predators,D,"$5,500,000",5.5
Morgan Geekie,Boston Bruins,F,"$5,500,000",5.5
Jaden Schwartz,Seattle Kraken,F,"$5,500,000",5.5
Zach Hyman,Edmonton Oilers,F,"$5,500,000",5.5
Phillip Danault,Montreal Canadiens,F,"$5,500,000",5.5
Jonathan Marchessault,Nashville Predators,F,"$5,500,000",5.5
Josh Anderson,Montreal Canadiens,F,"$5,500,000",5.5
Sean Monahan,Columbus Blue Jackets,F,"$5,500,000",5.5
Andre Burakovsky,Chicago Blackhawks,F,"$5,500,000",5.5
Tyler Bertuzzi,Chicago Blackhawks,F,"$5,500,000",5.5
Brett Pesce,New Jersey Devils,D,"$5,500,000",5.5
Adrian Kempe,Los Angeles Kings,F,"$5,500,000",5.5
Marcus Pettersson,Vancouver Canucks,D,"$5,500,000",5.5
Jake DeBrusk,Vancouver Canucks,F,"$5,500,000",5.5
Teuvo Teravainen,Chicago Blackhawks,F,"$5,400,000",5.4
Oliver Bjorkstrand,Tampa Bay Lightning,F,"$5,400,000",5.4
Christian Dvorak,Philadelphia Flyers,F,"$5,400,000",5.4
Kevin Bahl,Calgary Flames,D,"$5,350,000",5.35
Brad Marchand,Florida Panthers,F,"$5,250,000",5.25
Charlie Coyle,Columbus Blue Jackets,F,"$5,250,000",5.25
Adam Larsson,Seattle Kraken,D,"$5,250,000",5.25
Esa Lindell,Dallas Stars,D,"$5,250,000",5.25
Joel Eriksson Ek,Minnesota Wild,F,"$5,250,000",5.25
Erik Cernak,Tampa Bay Lightning,D,"$5,200,000",5.2
Cameron York,Philadelphia Flyers,D,"$5,150,000",5.15
Evander Kane,Vancouver Canucks,F,"$5,125,000",5.125
Bryan Rust,Pittsburgh Penguins,F,"$5,125,000",5.125
Ryan Nugent-Hopkins,Edmonton Oilers,F,"$5,125,000",5.125
Rasmus Ristolainen,Philadelphia Flyers,D,"$5,100,000",5.1
J.T. Compher,Detroit Red Wings,F,"$5,100,000",5.1
Ryan Strome,Calgary Flames,F,"$5,000,000",5.0
Rickard Rakell,Pittsburgh Penguins,F,"$5,000,000",5.0
Jean-Gabriel Pageau,New York Islanders,F,"$5,000,000",5.0
Ivan Barbashev,Vegas Golden Knights,F,"$5,000,000",5.0
Alexander Wennberg,San Jose Sharks,F,"$5,000,000",5.0
Nikita Zadorov,Boston Bruins,D,"$5,000,000",5.0
Jared McCann,Seattle Kraken,F,"$5,000,000",5.0
Dylan Strome,Washington Capitals,F,"$5,000,000",5.0
Samuel Girard,Pittsburgh Penguins,D,"$5,000,000",5.0
Joel Farabee,Calgary Flames,F,"$5,000,000",5.0
Ryan McLeod,Buffalo Sabres,F,"$5,000,000",5.0
Marco Rossi,Vancouver Canucks,F,"$5,000,000",5.0
Anton Lundell,Florida Panthers,F,"$5,000,000",5.0
Drake Batherson,Ottawa Senators,F,"$4,975,000",4.975
Conor Garland,Columbus Blue Jackets,F,"$4,950,000",4.95
Blake Coleman,Calgary Flames,F,"$4,900,000",4.9
Dylan Demelo,Winnipeg Jets,D,"$4,900,000",4.9
Mike Matheson,Montreal Canadiens,D,"$4,875,000",4.875
Jesperi Kotkaniemi,Carolina Hurricanes,F,"$4,820,000",4.82
Ilya Mikheyev,Chicago Blackhawks,F,"$4,750,000",4.75
Jordan Eberle,Seattle Kraken,F,"$4,750,000",4.75
Ben Chiarot,Detroit Red Wings,D,"$4,750,000",4.75
Kyle Palmieri,New York Islanders,F,"$4,750,000",4.75
Vladimir Tarasenko,Minnesota Wild,F,"$4,750,000",4.75
Jason Zucker,Buffalo Sabres,F,"$4,750,000",4.75
Alex Tuch,Buffalo Sabres,F,"$4,750,000",4.75
Pavel Zacha,Boston Bruins,F,"$4,750,000",4.75
Jamie Oleksiak,Seattle Kraken,D,"$4,600,000",4.6
Rasmus Sandin,Washington Capitals,D,"$4,600,000",4.6
Alex Vlasic,Chicago Blackhawks,D,"$4,600,000",4.6
Artyom Zub,Ottawa Senators,D,"$4,600,000",4.6
Philip Broberg,St Louis Blues,D,"$4,580,917",4.581
Frank Vatrano,Anaheim Ducks,F,"$4,571,189",4.571
Rasmus Andersson,Vegas Golden Knights,D,"$4,550,000",4.55
Kaapo Kakko,Seattle Kraken,F,"$4,525,000",4.525
Jake McCabe,Toronto Maple Leafs,D,"$4,513,102",4.513
Nick Foligno,Minnesota Wild,F,"$4,500,000",4.5
Mikael Backlund,Calgary Flames,F,"$4,500,000",4.5
Matt Duchene,Dallas Stars,F,"$4,500,000",4.5
Ryan O'Reilly,Nashville Predators,F,"$4,500,000",4.5
Christopher Tanev,Toronto Maple Leafs,D,"$4,500,000",4.5
Josh Manson,Colorado Avalanche,D,"$4,500,000",4.5
Cody Ceci,Los Angeles Kings,D,"$4,500,000",4.5
Ryan Graves,Pittsburgh Penguins,D,"$4,500,000",4.5
Artturi Lehkonen,Colorado Avalanche,F,"$4,500,000",4.5
Michael Bunting,Dallas Stars,F,"$4,500,000",4.5
Mason Marchment,Columbus Blue Jackets,F,"$4,500,000",4.5
Ryan Lindgren,Seattle Kraken,D,"$4,500,000",4.5
Filip Chytil,Vancouver Canucks,F,"$4,437,500",4.438
Connor Murphy,Edmonton Oilers,D,"$4,400,000",4.4
John Marino,Utah Mammoth,D,"$4,400,000",4.4
John Tavares,Toronto Maple Leafs,F,"$4,389,280",4.389
Morgan Frost,Calgary Flames,F,"$4,375,000",4.375
Jacob Middleton,Minnesota Wild,D,"$4,350,000",4.35
Lawson Crouse,Utah Mammoth,F,"$4,300,000",4.3
Andrei Kuzmenko,Los Angeles Kings,F,"$4,300,000",4.3
Mattias Samuelsson,Buffalo Sabres,D,"$4,285,714",4.286
Fabian Zetterlund,Ottawa Senators,F,"$4,275,000",4.275
Jack McBain,Utah Mammoth,F,"$4,250,000",4.25
Jason Dickinson,Edmonton Oilers,F,"$4,250,000",4.25
Trevor Moore,Los Angeles Kings,F,"$4,200,000",4.2
Dmitri Voronkov,Columbus Blue Jackets,F,"$4,175,000",4.175
Pius Suter,St Louis Blues,F,"$4,125,000",4.125
Mikey Anderson,Los Angeles Kings,D,"$4,125,000",4.125
Mats Zuccarello,Minnesota Wild,F,"$4,125,000",4.125
Dante Fabbro,Columbus Blue Jackets,D,"$4,125,000",4.125
Brandon Carlo,Toronto Maple Leafs,D,"$4,100,000",4.1
William Borgen,New York Rangers,D,"$4,100,000",4.1
Alex Laferriere,Los Angeles Kings,F,"$4,100,000",4.1
Nick Jensen,Ottawa Senators,D,"$4,050,000",4.05
David Perron,Detroit Red Wings,F,"$4,000,000",4.0
Nick Leddy,San Jose Sharks,D,"$4,000,000",4.0
Brian Dumoulin,Los Angeles Kings,D,"$4,000,000",4.0
Marcus Foligno,Minnesota Wild,F,"$4,000,000",4.0
Erik Gudbranson,Columbus Blue Jackets,D,"$4,000,000",4.0
Nino Niederreiter,Winnipeg Jets,F,"$4,000,000",4.0
Radko Gudas,Anaheim Ducks,D,"$4,000,000",4.0
John Klingberg,San Jose Sharks,D,"$4,000,000",4.0
Brenden Dillon,New Jersey Devils,D,"$4,000,000",4.0
Jonathan Drouin,St Louis Blues,F,"$4,000,000",4.0
Ryan Hartman,Minnesota Wild,F,"$4,000,000",4.0
Ryan Donato,Chicago Blackhawks,F,"$4,000,000",4.0
Viktor Arvidsson,Boston Bruins,F,"$4,000,000",4.0
Jordan Greenway,Buffalo Sabres,F,"$4,000,000",4.0
Ross Colton,Colorado Avalanche,F,"$4,000,000",4.0
Johnathan Kovacevic,New Jersey Devils,D,"$4,000,000",4.0
Noah Cates,Philadelphia Flyers,F,"$4,000,000",4.0
Thomas Harley,Dallas Stars,D,"$4,000,000",4.0
Dawson Mercer,New Jersey Devils,F,"$4,000,000",4.0
Will Cuylle,New York Rangers,F,"$3,900,000",3.9
Kirill Marchenko,Columbus Blue Jackets,F,"$3,850,000",3.85
Joel Edmundson,Los Angeles Kings,D,"$3,850,000",3.85
Trent Frederic,Edmonton Oilers,F,"$3,850,000",3.85
Connor Zary,Calgary Flames,F,"$3,775,000",3.775
Shane Pinto,Ottawa Senators,F,"$3,750,000",3.75
Tyson Foerster,Philadelphia Flyers,F,"$3,750,000",3.75
Jake Neighbours,St Louis Blues,F,"$3,750,000",3.75
Boone Jenner,Columbus Blue Jackets,F,"$3,750,000",3.75
Max Domi,Toronto Maple Leafs,F,"$3,750,000",3.75
Alexandre Carrier,Montreal Canadiens,D,"$3,750,000",3.75
Alex Iafallo,Winnipeg Jets,F,"$3,666,666",3.667
Brayden McNabb,Vegas Golden Knights,D,"$3,650,000",3.65
Barclay Goodrow,San Jose Sharks,F,"$3,641,667",3.642
Simon Holmstrom,New York Islanders,F,"$3,625,000",3.625
Sean Walker,Carolina Hurricanes,D,"$3,600,000",3.6
Andrew Mangiapane,Chicago Blackhawks,F,"$3,600,000",3.6
Oliver Ekman-Larsson,Toronto Maple Leafs,D,"$3,500,000",3.5
Scott Mayfield,New York Islanders,D,"$3,500,000",3.5
Olli Maatta,Calgary Flames,D,"$3,500,000",3.5
Anthony Duclair,New York Islanders,F,"$3,500,000",3.5
Nate Schmidt,Utah Mammoth,D,"$3,500,000",3.5
Warren Foegele,Ottawa Senators,F,"$3,500,000",3.5
Yakov Trenin,Minnesota Wild,F,"$3,500,000",3.5
Thomas Novak,Pittsburgh Penguins,F,"$3,500,000",3.5
Eeli Tolvanen,Seattle Kraken,F,"$3,475,000",3.475
Matias Maccelli,Toronto Maple Leafs,F,"$3,425,000",3.425
Tanner Jeannot,Boston Bruins,F,"$3,400,000",3.4
Justin Holl,St Louis Blues,D,"$3,400,000",3.4
Jake Walman,Edmonton Oilers,D,"$3,400,000",3.4
Jonas Siegenthaler,New Jersey Devils,D,"$3,400,000",3.4
Aliaksei Protas,Washington Capitals,F,"$3,375,000",3.375
Jack Quinn,Buffalo Sabres,F,"$3,375,000",3.375
Janis Jérôme Moser,Tampa Bay Lightning,D,"$3,375,000",3.375
Kirby Dach,Montreal Canadiens,F,"$3,362,500",3.362
Connor Clifton,Pittsburgh Penguins,D,"$3,333,333",3.333
Mario Ferraro,San Jose Sharks,D,"$3,250,000",3.25
Ilya Lyubushkin,Dallas Stars,D,"$3,250,000",3.25
Cole Perfetti,Winnipeg Jets,F,"$3,250,000",3.25
Ridly Greig,Ottawa Senators,F,"$3,250,000",3.25
Gustav Nyquist,Winnipeg Jets,F,"$3,250,000",3.25
Adam Lowry,Winnipeg Jets,F,"$3,250,000",3.25
Carson Soucy,New York Islanders,D,"$3,250,000",3.25
Dakota Joshua,Toronto Maple Leafs,F,"$3,250,000",3.25
Shayne Gostisbehere,Carolina Hurricanes,D,"$3,200,000",3.2
Michael Rasmussen,Detroit Red Wings,F,"$3,200,000",3.2
Mason Lohrei,Boston Bruins,D,"$3,200,000",3.2
Taylor Hall,Carolina Hurricanes,F,"$3,166,667",3.167
Erik Haula,Nashville Predators,F,"$3,150,000",3.15
Nick Paul,Tampa Bay Lightning,F,"$3,150,000",3.15
Jordan Martinook,Carolina Hurricanes,F,"$3,050,000",3.05
Patrick Kane,Detroit Red Wings,F,"$3,000,000",3.0
Adam Henrique,Edmonton Oilers,F,"$3,000,000",3.0
Tyler Myers,Dallas Stars,D,"$3,000,000",3.0
Nic Dowd,Vegas Golden Knights,F,"$3,000,000",3.0
Vladislav Namestnikov,Winnipeg Jets,F,"$3,000,000",3.0
Scott Laughton,Los Angeles Kings,F,"$3,000,000",3.0
Alexander Kerfoot,Utah Mammoth,F,"$3,000,000",3.0
Connor Brown,New Jersey Devils,F,"$3,000,000",3.0
Trevor van Riemsdyk,Washington Capitals,D,"$3,000,000",3.0
Evan Rodrigues,Florida Panthers,F,"$3,000,000",3.0
Nicolas Roy,Colorado Avalanche,F,"$3,000,000",3.0
Jalen Chatfield,Carolina Hurricanes,D,"$3,000,000",3.0
Timothy Liljegren,Washington Capitals,D,"$3,000,000",3.0
Henri Jokiharju,Boston Bruins,D,"$3,000,000",3.0
Eetu Luostarinen,Florida Panthers,F,"$3,000,000",3.0
Pierre Engvall,New York Islanders,F,"$3,000,000",3.0
Mathieu Olivier,Columbus Blue Jackets,F,"$3,000,000",3.0
Nils Hoglander,Vancouver Canucks,F,"$3,000,000",3.0
